127.0.0.1, 2026-04-09 20:53:21, test.txt, 200
127.0.0.1, 2026-04-09 20:53:28, test.jpg, 200
127.0.0.1, 2026-04-09 20:53:35, test.png, 200
127.0.0.1, 2026-04-09 20:53:43, index.html, 200
127.0.0.1, 2026-04-09 20:53:49, missing123.html, 404
127.0.0.1, 2026-04-09 20:53:58, .hidden_file, 403
127.0.0.1, 2026-04-09 20:54:10, index.html, 200
127.0.0.1, 2026-04-09 20:54:20, index.html, 304
127.0.0.1, 2026-04-09 20:54:27, index.html, 200
127.0.0.1, 2026-04-09 20:54:33, index.html, 200
127.0.0.1, 2026-04-09 20:54:49, index.html, 200
127.0.0.1, 2026-04-09 20:54:55, index.html, 200
127.0.0.1, 2026-04-09 20:55:01, index.html, 400
127.0.0.1, 2026-04-09 20:55:24, index.html, 200
127.0.0.1, 2026-04-09 20:55:24, index.html, 200
127.0.0.1, 2026-04-09 20:55:24, index.html, 200
127.0.0.1, 2026-04-09 20:55:24, index.html, 200
127.0.0.1, 2026-04-09 20:55:24, index.html, 200
127.0.0.1, 2026-04-09 20:55:24, index.html, 200
127.0.0.1, 2026-04-09 20:55:24, index.html, 200
127.0.0.1, 2026-04-09 20:55:24, index.html, 200
127.0.0.1, 2026-04-09 20:55:24, index.html, 200
127.0.0.1, 2026-04-09 20:55:25, index.html, 200
